epoch,tr_loss,tr_precision,tr_recall,tr_f1,tr_acc,tr_PRauc,va_loss,va_precision,va_recall,va_f1,va_acc,va_PRauc,seconds
1,0.1889,0.6055,0.0805,0.142,0.9428,0.2755,0.1381,0.4598,0.035,0.0651,0.9519,0.3289,326.0277
2,0.1639,0.6474,0.2097,0.3168,0.9467,0.41,0.1232,0.7221,0.0009,0.0018,0.9522,0.4055,324.7601
3,0.1356,0.7453,0.3621,0.4874,0.9551,0.5765,0.1477,1.0,0.0,0.0,0.9522,0.3395,324.951
4,0.1011,0.7751,0.5795,0.6632,0.9653,0.7327,0.1086,0.8705,0.0418,0.0798,0.9539,0.6033,323.1811
5,0.0822,0.813,0.6825,0.7421,0.9721,0.8072,0.1484,1.0,0.0,0.0,0.9522,0.5431,323.6256
6,0.0665,0.8429,0.7582,0.7983,0.9774,0.8634,0.1328,0.0,0.0,0.0,0.9522,0.6381,323.4198
7,0.0569,0.8666,0.8068,0.8356,0.9813,0.8944,0.1106,0.8246,0.1868,0.3046,0.9592,0.6277,322.1071
8,0.0497,0.8725,0.8349,0.8533,0.9831,0.9135,0.1192,0.9612,0.0966,0.1756,0.9566,0.7063,324.6199
9,0.0411,0.8916,0.869,0.8801,0.9861,0.9351,0.0982,0.8344,0.3501,0.4932,0.9656,0.6908,323.9097
10,0.034,0.9098,0.8882,0.8989,0.9882,0.9565,0.1098,0.8758,0.283,0.4278,0.9638,0.7042,320.1268
11,0.0425,0.8829,0.8576,0.87,0.9849,0.9306,0.1273,0.898,0.1826,0.3035,0.9599,0.6679,320.2104
12,0.0292,0.9113,0.9088,0.91,0.9894,0.9635,0.1288,0.8406,0.2287,0.3595,0.961,0.6768,321.1205
13,0.0248,0.9264,0.9229,0.9247,0.9911,0.9732,0.0953,0.8327,0.5086,0.6315,0.9716,0.749,318.8185
14,0.0282,0.9181,0.9104,0.9142,0.9899,0.9672,0.1071,0.83,0.4455,0.5798,0.9691,0.7131,320.2609
15,0.0326,0.9141,0.8964,0.9052,0.9889,0.9596,0.1418,0.9046,0.2832,0.4313,0.9643,0.6807,319.0644
16,0.0344,0.9102,0.8943,0.9022,0.9886,0.9572,0.0918,0.7061,0.6499,0.6768,0.9703,0.6923,318.2682
17,0.0368,0.9082,0.88,0.8939,0.9877,0.9509,0.1136,0.8974,0.4209,0.573,0.97,0.7651,318.5994
18,0.0208,0.9392,0.9327,0.9359,0.9925,0.9817,0.109,0.8688,0.4166,0.5632,0.9691,0.7526,319.4516
19,0.0189,0.9467,0.9377,0.9421,0.9932,0.9848,0.1125,0.901,0.3547,0.5091,0.9673,0.7702,320.0552
20,0.0154,0.952,0.9535,0.9527,0.9944,0.9898,0.1087,0.8795,0.4939,0.6326,0.9726,0.7659,319.7536
